Lines of Code,Cyclometic Complexity,Number Of Parameters,# Inner Invocations,# Outer Invocations,ATFD,FDP,LAA,MAXNESTING,NOAV,Feature Envy,Long Method
4,1,0,1,2,1,0,1,1,1,False,False
3,1,0,0,2,1,0,1,1,1,False,False
3,1,1,0,1,1,0,1,1,2,False,False
3,1,0,0,1,1,0,1,1,1,False,False
3,1,1,0,2,1,0,1,1,2,False,False
3,1,0,0,1,1,0,1,1,1,False,False
23,4,1,1,8,1,0,0.5,4,5,False,False
4,3,1,1,1,1,0,0.5,1,4,False,False
15,3,1,0,8,1,0,0,5,5,False,False
7,5,2,0,1,1,0,0,2,4,False,False
5,3,1,0,1,1,0,0,1,4,False,False
5,3,1,0,1,1,0,0,1,4,False,False
3,2,0,0,1,1,0,0,1,1,False,False
5,1,2,0,3,1,0,0,1,4,False,False
5,1,4,0,1,1,0,0,1,7,False,False
3,1,0,0,2,1,0,0,1,1,False,False
3,1,1,0,1,1,0,0,1,2,False,False
3,1,1,0,2,1,0,0,1,2,False,False
3,1,1,2,0,0,0,24.5,1,4,False,False
3,1,0,1,0,0,0,17,1,1,False,False
5,1,1,1,1,0,0,16,1,3,False,False
10,1,0,2,4,0,0,14,3,2,False,False
5,1,0,2,2,0,0,14,1,2,False,False
3,1,0,1,0,0,0,14,1,2,False,False
3,1,0,1,1,0,0,13,1,1,False,False
3,1,0,1,1,0,0,13,1,1,False,False
3,1,0,1,1,0,0,13,1,1,False,False
3,1,0,1,1,0,0,13,1,1,False,False
3,1,0,1,1,0,0,13,1,1,False,False
3,1,0,1,1,0,0,13,1,1,False,False
3,1,0,1,1,0,0,13,1,1,False,False
3,1,0,1,1,0,0,13,1,1,False,False
8,1,1,1,3,0,0,12,3,3,False,False
8,1,1,1,3,0,0,12,3,3,False,False
8,1,1,1,3,0,0,12,3,3,False,False
8,1,1,1,3,0,0,12,3,3,False,False
8,1,1,1,3,0,0,12,3,3,False,False
8,1,1,1,3,0,0,12,3,3,False,False
8,1,1,1,3,0,0,12,3,3,False,False
8,1,1,1,3,0,0,12,3,3,False,False
8,1,1,1,3,0,0,12,3,3,False,False
8,1,1,1,3,0,0,12,3,3,False,False
3,1,0,1,0,0,0,12,1,1,False,False
3,1,0,1,0,0,0,12,1,1,False,False
3,1,0,1,0,0,0,12,1,1,False,False
3,1,0,1,0,0,0,12,1,1,False,False
3,1,0,1,0,0,0,12,1,1,False,False
3,1,0,1,0,0,0,12,1,1,False,False
3,1,0,1,0,0,0,12,1,1,False,False
3,1,0,1,0,0,0,12,1,1,False,False
3,1,0,1,0,0,0,12,1,1,False,False
3,1,0,1,0,0,0,12,1,1,False,False
10,3,2,7,4,0,0,11,2,6,False,False
3,1,0,1,1,0,0,11,1,1,False,False
6,2,0,1,4,0,0,10,2,2,False,False
3,1,1,1,0,0,0,10,1,3,False,False
6,3,0,1,0,0,0,9,2,1,False,False
6,2,1,1,3,0,0,9,2,3,False,False
3,2,1,1,1,0,0,9,1,2,False,False
4,1,0,2,1,0,0,9,1,1,False,False
4,1,1,2,1,0,0,9,1,2,False,False
4,1,1,1,0,0,0,9,1,2,False,False
3,1,1,2,0,0,0,9,1,2,False,False
3,1,1,2,0,0,0,9,1,2,False,False
3,1,2,2,0,0,0,9,1,3,False,False
3,1,0,1,1,0,0,9,1,1,False,False
3,1,0,1,1,0,0,9,1,1,False,False
3,1,1,1,1,0,0,9,1,2,False,False
3,1,0,1,1,0,0,9,1,1,False,False
3,1,0,1,1,0,0,9,1,1,False,False
3,1,0,1,0,0,0,9,1,2,False,False
3,1,0,1,0,0,0,9,1,2,False,False
3,1,0,1,0,0,0,9,1,2,False,False
3,1,1,2,0,0,0,9,1,2,False,False
3,1,1,2,0,0,0,9,1,2,False,False
3,1,0,2,0,0,0,9,1,1,False,False
3,1,0,1,1,0,0,9,1,1,False,False
3,1,0,1,1,0,0,9,1,1,False,False
3,1,1,1,1,0,0,9,1,2,False,False
3,1,1,1,1,0,0,9,1,2,False,False
10,4,0,2,8,0,0,8.5,2,5,False,False
3,3,0,2,1,0,0,8.5,1,2,False,False
19,6,0,2,18,0,0,8,4,8,False,False
6,3,0,1,1,0,0,8,2,4,False,False
3,2,1,1,1,0,0,8,1,2,False,False
3,1,0,1,0,0,0,8,1,2,False,False
3,1,0,1,0,0,0,8,1,2,False,False
3,1,1,1,0,0,0,8,1,3,False,False
3,1,1,1,1,0,0,8,1,2,False,False
3,1,1,1,0,0,0,8,1,3,False,False
5,1,1,1,0,0,0,7,1,4,False,False
5,1,0,1,0,0,0,7,1,2,False,False
3,1,0,1,1,0,0,7,1,1,False,False
3,1,0,1,0,0,0,7,1,3,False,False
3,1,2,2,0,0,0,7,1,3,False,False
3,1,0,1,0,0,0,7,1,2,False,False
3,1,0,1,0,0,0,7,1,2,False,False
3,1,0,1,0,0,0,7,1,2,False,False
3,1,0,2,0,0,0,7,1,1,False,False
3,1,1,2,1,0,0,6.5,1,3,False,False
3,1,1,2,1,0,0,6.5,1,3,False,False
20,3,1,8,13,0,0,6,2,14,False,False
17,2,1,4,5,0,0,6,2,12,False,False
4,1,4,1,1,0,0,6,1,5,False,False
3,1,1,2,1,0,0,6,1,2,False,False
3,1,1,2,1,0,0,6,1,2,False,False
3,1,1,2,1,0,0,6,1,2,False,False
3,1,1,2,1,0,0,6,1,2,False,False
3,1,1,2,1,0,0,6,1,2,False,False
3,1,1,2,1,0,0,6,1,2,False,False
3,1,1,1,0,0,0,6,1,3,False,False
3,1,1,1,0,0,0,6,1,4,False,False
3,1,2,1,0,0,0,6,1,3,False,False
3,1,0,1,0,0,0,6,1,2,False,False
3,1,0,1,1,0,0,6,1,2,False,False
3,1,0,1,0,0,0,6,1,2,False,False
3,1,0,1,0,0,0,6,1,2,False,False
14,8,1,3,7,0,0,5.67,2,8,False,False
6,2,1,3,3,0,0,5.33,2,3,False,False
7,3,0,2,4,0,0,5,3,1,False,False
6,2,1,1,3,0,0,5,2,3,False,False
3,2,0,1,0,0,0,5,1,3,False,False
4,1,1,2,0,0,0,5,1,2,False,False
3,1,0,2,0,0,0,5,1,1,False,False
3,1,0,1,1,0,0,5,1,1,False,False
3,1,0,1,0,0,0,5,1,2,False,False
3,1,0,1,0,0,0,5,1,2,False,False
3,1,0,1,0,0,0,5,1,2,False,False
3,1,0,1,0,0,0,5,1,2,False,False
3,1,0,1,0,0,0,5,1,1,False,False
3,1,0,1,0,0,0,5,1,2,False,False
3,1,0,1,0,0,0,5,1,2,False,False
3,1,0,1,0,0,0,5,1,2,False,False
7,3,0,4,2,0,0,4.5,3,1,False,False
3,1,0,2,0,0,0,4.5,2,2,False,False
6,1,1,2,0,0,0,4.5,1,6,False,False
5,1,0,2,3,0,0,4.5,1,3,False,False
4,1,1,2,1,0,0,4.5,1,3,False,False
4,1,1,2,1,0,0,4.5,1,3,False,False
4,1,1,2,0,0,0,4.5,1,3,False,False
3,1,0,3,1,0,0,4.5,1,3,False,False
3,1,1,2,0,0,0,4.5,1,3,False,False
3,1,1,2,0,0,0,4.5,1,3,False,False
3,1,2,2,0,0,0,4.5,1,4,False,False
3,1,1,2,0,0,0,4.5,1,3,False,False
3,1,1,2,0,0,0,4.5,1,3,False,False
3,1,1,2,0,0,0,4.5,1,3,False,False
9,4,0,9,7,0,0,4.25,3,2,False,False
10,6,0,4,3,0,0,4.25,2,4,False,False
18,8,0,5,24,0,0,4,3,9,False,False
16,7,1,5,20,0,0,4,3,9,False,False
22,10,0,2,17,0,0,4,2,12,False,False
7,2,0,2,3,0,0,4,2,5,False,False
5,2,0,4,0,0,0,4,2,1,False,False
3,1,1,1,1,0,0,4,1,2,False,False
3,1,0,1,0,0,0,4,1,2,False,False
3,1,0,1,0,0,0,4,1,2,False,False
3,1,0,1,0,0,0,4,1,2,False,False
3,1,1,1,0,0,0,4,1,3,False,False
3,1,0,1,0,0,0,4,1,2,False,False
3,1,0,1,0,0,0,4,1,2,False,False
3,1,2,1,0,0,0,4,1,4,False,False
3,1,1,1,0,0,0,4,1,3,False,False
3,1,1,1,0,0,0,4,1,3,False,False
3,1,1,1,2,0,0,4,1,2,False,False
3,1,0,1,0,0,0,4,1,2,False,False
7,3,1,2,1,0,0,3.5,2,3,False,False
3,1,0,3,0,0,0,3.5,1,3,False,False
3,1,0,4,1,0,0,3.25,1,4,False,False
6,1,1,3,0,0,0,3,1,5,False,False
4,1,0,2,1,0,0,3,1,3,False,False
3,1,0,1,0,0,0,3,1,2,False,False
3,1,0,1,3,0,0,3,1,2,False,False
3,1,0,1,0,0,0,3,1,2,False,False
3,1,0,1,0,0,0,3,1,2,False,False
3,1,0,1,0,0,0,3,1,2,False,False
3,1,0,1,2,0,0,3,1,2,False,False
3,1,0,1,2,0,0,3,1,2,False,False
3,1,0,1,0,0,0,3,1,2,False,False
3,1,0,1,0,0,0,3,1,2,False,False
3,1,0,1,0,0,0,3,1,2,False,False
3,1,0,1,0,0,0,3,1,2,False,False
3,1,0,1,0,0,0,3,1,2,False,False
3,1,0,1,0,0,0,3,1,2,False,False
12,7,0,7,6,0,0,2.67,3,3,False,False
19,8,0,6,20,0,0,2.67,2,9,False,False
6,2,1,6,3,0,0,2.67,2,2,False,False
9,2,0,5,12,0,0,2.5,2,5,False,False
3,2,0,3,0,0,0,2.5,1,5,False,False
3,2,0,3,0,0,0,2.5,1,5,False,False
5,1,1,4,0,0,0,2.5,1,4,False,False
3,1,0,2,0,0,0,2.5,1,2,False,False
3,1,0,3,0,0,0,2.5,1,3,False,False
7,3,1,7,0,0,0,2,3,2,False,False
21,12,0,5,10,0,0,2,2,6,False,False
7,4,1,4,0,0,0,2,2,5,False,False
11,2,1,12,0,0,0,2,2,5,False,False
9,2,1,3,6,0,0,2,2,6,False,False
6,2,1,1,3,0,0,2,2,3,False,False
3,2,0,1,0,0,0,2,1,3,False,False
3,2,1,1,1,0,0,2,1,3,False,False
5,1,0,1,0,0,0,2,1,2,False,False
5,1,0,1,0,0,0,2,1,2,False,False
5,1,0,1,0,0,0,2,1,2,False,False
5,1,0,1,0,0,0,2,1,2,False,False
5,1,0,1,0,0,0,2,1,2,False,False
5,1,0,1,0,0,0,2,1,2,False,False
5,1,0,1,0,0,0,2,1,2,False,False
5,1,0,1,0,0,0,2,1,2,False,False
5,1,0,1,0,0,0,2,1,2,False,False
5,1,1,1,1,0,0,2,1,4,False,False
5,1,1,1,1,0,0,2,1,4,False,False
5,1,1,1,1,0,0,2,1,4,False,False
4,1,0,2,1,0,0,2,1,2,False,False
4,1,1,1,0,0,0,2,1,3,False,False
3,1,0,1,0,0,0,2,1,2,False,False
3,1,0,1,0,0,0,2,1,2,False,False
3,1,0,1,0,0,0,2,1,2,False,False
3,1,0,1,0,0,0,2,1,2,False,False
3,1,0,1,0,0,0,2,1,2,False,False
3,1,0,1,0,0,0,2,1,2,False,False
3,1,0,1,0,0,0,2,1,2,False,False
3,1,0,1,1,0,0,2,1,1,False,False
3,1,0,1,1,0,0,2,1,1,False,False
3,1,0,1,0,0,0,2,1,2,False,False
3,1,0,1,0,0,0,2,1,2,False,False
3,1,0,1,0,0,0,2,1,2,False,False
3,1,0,1,0,0,0,2,1,1,False,False
3,1,0,1,0,0,0,2,1,2,False,False
3,1,1,1,0,0,0,2,1,3,False,False
3,1,1,1,0,0,0,2,1,3,False,False
3,1,0,1,0,0,0,2,1,2,False,False
3,1,0,1,0,0,0,2,1,2,False,False
3,1,0,1,0,0,0,2,1,2,False,False
3,1,0,1,0,0,0,2,1,2,False,False
3,1,0,1,0,0,0,2,1,2,False,False
3,1,0,1,0,0,0,2,1,2,False,False
3,1,1,1,0,0,0,2,1,3,False,False
3,1,1,1,0,0,0,2,1,3,False,False
3,1,1,1,0,0,0,2,1,3,False,False
3,1,0,1,0,0,0,2,1,2,False,False
8,3,1,12,0,0,0,1.83,2,7,False,False
20,9,2,6,9,0,0,1.75,2,11,False,False
11,2,1,4,1,0,0,1.75,2,12,False,False
6,2,1,3,0,0,0,1.67,2,3,False,False
6,2,1,3,0,0,0,1.67,2,3,False,False
32,10,1,8,28,0,0,1.6,3,19,False,False
11,3,0,8,5,0,0,1.57,3,5,False,False
7,2,2,2,0,0,0,1.5,2,3,False,False
7,3,1,3,6,0,0,1.33,2,3,False,False
6,3,0,3,0,0,0,1.33,2,3,False,False
7,2,0,3,0,0,0,1.33,2,5,False,False
6,2,0,3,0,0,0,1.33,2,5,False,False
6,2,1,3,0,0,0,1.33,2,6,False,False
3,3,0,3,1,0,0,1.33,1,4,False,False
15,3,1,2,4,0,0,1,3,3,False,False
7,3,1,1,2,0,0,1,2,3,False,False
3,3,0,2,1,0,0,1,1,3,False,False
4,1,1,2,0,0,0,1,1,2,False,False
4,1,1,2,0,0,0,1,1,6,False,False
4,1,1,2,0,0,0,1,1,2,False,False
4,1,1,2,0,0,0,1,1,2,False,False
4,1,1,2,0,0,0,1,1,2,False,False
4,1,1,2,0,0,0,1,1,2,False,False
3,1,1,1,0,0,0,1,1,2,False,False
3,1,0,1,0,0,0,1,1,1,False,False
3,1,1,1,0,0,0,1,1,2,False,False
3,1,0,1,1,0,0,1,1,1,False,False
3,1,0,1,1,0,0,1,1,1,False,False
7,3,0,4,0,0,0,0.75,2,4,False,False
7,3,0,4,0,0,0,0.75,2,4,False,False
6,2,2,3,0,0,0,0.67,2,4,False,False
17,6,3,6,12,0,0,0.5,4,8,False,False
4,1,1,2,1,0,0,0.5,1,2,False,False
6,2,1,6,0,0,0,0.33,2,6,False,False
20,9,2,6,9,0,0,0.25,2,11,False,False
48,21,2,10,25,0,0,0.1,3,15,False,True
34,8,2,0,0,0,0,0,7,9,False,True
68,14,0,0,0,0,0,0,6,25,True,True
24,8,1,0,22,0,0,0,6,12,False,False
32,4,1,0,0,0,0,0,6,4,False,True
17,3,0,3,17,0,0,0,6,6,False,False
29,16,3,0,0,0,0,0,5,9,False,False
41,15,0,0,0,0,0,0,5,10,False,True
30,9,1,0,0,0,0,0,5,2,False,False
30,9,0,0,37,0,0,0,5,6,False,True
29,9,1,0,0,0,0,0,5,7,False,False
28,9,1,0,0,0,0,0,5,7,False,False
37,8,3,0,0,0,0,0,5,6,False,False
13,6,1,0,0,0,0,0,5,2,False,False
90,5,0,0,0,0,0,0,5,26,False,True
37,5,1,0,0,0,0,0,5,3,False,True
36,5,1,0,0,0,0,0,5,7,False,False
22,5,0,0,0,0,0,0,5,3,False,False
20,5,1,0,0,0,0,0,5,4,False,False
28,4,0,0,0,0,0,0,5,6,False,False
18,4,1,0,0,0,0,0,5,3,False,False
16,4,0,0,0,0,0,0,5,3,False,False
20,3,1,0,0,0,0,0,5,4,False,False
16,3,1,2,5,0,0,0,5,3,False,False
39,22,2,3,13,0,0,0,4,8,False,True
119,18,2,0,0,0,0,0,4,2,False,True
128,17,0,0,0,0,0,0,4,20,False,True
45,13,0,0,0,0,0,0,4,16,False,True
21,11,3,5,34,0,0,0,4,6,False,False
52,10,2,0,0,0,0,0,4,6,False,True
30,10,1,0,0,0,0,0,4,18,False,False
29,10,0,0,0,0,0,0,4,18,False,False
30,8,0,0,0,0,0,0,4,14,False,False
65,7,1,0,10,0,0,0,4,10,False,True
17,7,2,0,0,0,0,0,4,7,False,False
12,7,1,0,4,0,0,0,4,2,False,False
22,6,3,0,0,0,0,0,4,7,False,False
17,6,4,0,0,0,0,0,4,6,False,False
14,6,3,0,27,0,0,0,4,12,False,False
14,6,2,1,4,0,0,0,4,4,False,False
13,6,2,1,4,0,0,0,4,4,False,False
35,5,0,0,1,0,0,0,4,15,False,True
20,5,0,0,0,0,0,0,4,16,False,False
19,5,2,0,0,0,0,0,4,3,False,False
15,5,1,0,0,0,0,0,4,4,False,False
14,5,0,0,0,0,0,0,4,13,False,False
12,5,3,10,6,0,0,0,4,5,False,False
11,5,1,4,9,0,0,0,4,4,False,False
10,5,1,0,4,0,0,0,4,2,False,False
16,4,2,0,0,0,0,0,4,7,False,False
15,4,2,0,0,0,0,0,4,4,False,False
13,4,1,0,0,0,0,0,4,2,False,False
12,4,3,0,19,0,0,0,4,5,False,False
11,4,0,0,0,0,0,0,4,4,False,False
11,4,0,0,17,0,0,0,4,2,False,False
10,4,1,0,0,0,0,0,4,3,False,False
10,4,1,0,4,0,0,0,4,3,False,False
10,4,2,0,0,0,0,0,4,4,False,False
9,4,0,2,12,0,0,0,4,4,False,False
9,4,0,0,0,0,0,0,4,1,False,False
35,3,2,0,0,0,0,0,4,2,False,False
9,3,0,8,3,0,0,0,4,3,False,False
9,3,0,8,3,0,0,0,4,3,False,False
20,2,0,0,0,0,0,0,4,5,False,False
20,2,1,0,0,0,0,0,4,8,False,False
14,2,3,0,0,0,0,0,4,3,False,False
13,2,0,0,0,0,0,0,4,3,False,False
67,22,2,0,0,0,0,0,3,6,False,True
45,13,1,0,0,0,0,0,3,21,False,True
24,13,1,9,14,0,0,0,3,8,False,False
28,12,1,0,0,0,0,0,3,4,False,False
35,10,1,0,0,0,0,0,3,8,False,True
27,10,2,7,11,0,0,0,3,11,False,False
19,10,3,0,39,0,0,0,3,6,False,False
63,9,0,0,0,0,0,0,3,20,False,True
37,9,0,0,0,0,0,0,3,7,False,False
34,9,3,0,0,0,0,0,3,14,False,True
34,9,1,0,0,0,0,0,3,3,False,True
31,9,1,0,0,0,0,0,3,14,False,False
24,9,0,0,0,0,0,0,3,10,False,False
19,9,0,0,0,0,0,0,3,5,False,False
16,9,0,0,0,0,0,0,3,5,False,False
16,9,0,0,0,0,0,0,3,5,False,False
113,8,0,0,0,0,0,0,3,3,False,True
38,8,0,0,0,0,0,0,3,6,False,True
37,8,1,0,0,0,0,0,3,31,False,False
32,8,1,0,0,0,0,0,3,10,False,True
27,8,3,0,76,0,0,0,3,6,False,False
26,8,1,0,0,0,0,0,3,17,False,True
16,8,0,0,0,0,0,0,3,4,False,False
31,7,2,0,0,0,0,0,3,8,False,False
30,7,1,0,0,0,0,0,3,3,False,False
27,7,0,0,0,0,0,0,3,9,False,False
26,7,2,0,0,0,0,0,3,9,False,True
20,7,1,0,5,0,0,0,3,3,False,False
18,7,3,0,0,0,0,0,3,4,False,False
14,7,1,0,0,0,0,0,3,5,False,False
28,6,0,0,0,0,0,0,3,8,False,False
26,6,1,0,0,0,0,0,3,3,False,False
25,6,0,0,0,0,0,0,3,7,False,False
24,6,3,0,0,0,0,0,3,10,False,False
21,6,1,0,0,0,0,0,3,16,False,False
21,6,3,0,0,0,0,0,3,5,False,False
50,5,0,0,0,0,0,0,3,3,False,True
20,5,0,0,0,0,0,0,3,5,False,False
18,5,2,0,15,0,0,0,3,9,False,False
11,5,0,0,13,0,0,0,3,6,False,False
11,5,0,0,13,0,0,0,3,6,False,False
8,5,1,0,0,0,0,0,3,2,False,False
35,4,1,0,0,0,0,0,3,7,False,False
18,4,1,0,0,0,0,0,3,14,False,False
16,4,1,0,0,0,0,0,3,5,False,False
15,4,0,0,0,0,0,0,3,4,False,False
15,4,2,0,0,0,0,0,3,8,False,False
14,4,1,4,9,0,0,0,3,3,False,False
14,4,1,0,0,0,0,0,3,4,False,False
13,4,5,0,0,0,0,0,3,8,False,False
13,4,1,0,0,0,0,0,3,4,False,False
13,4,1,3,15,0,0,0,3,5,False,False
13,4,0,0,11,0,0,0,3,8,False,False
13,4,1,0,0,0,0,0,3,3,False,False
12,4,1,0,0,0,0,0,3,3,False,False
12,4,1,0,0,0,0,0,3,1,False,False
12,4,2,2,10,0,0,0,3,6,False,False
11,4,2,0,0,0,0,0,3,3,False,False
11,4,1,0,0,0,0,0,3,3,False,False
11,4,1,0,0,0,0,0,3,3,False,False
10,4,1,0,6,0,0,0,3,2,False,False
10,4,0,0,0,0,0,0,3,4,False,False
10,4,1,0,0,0,0,0,3,5,False,False
10,4,1,0,0,0,0,0,3,1,False,False
10,4,2,4,2,0,0,0,3,3,False,False
10,4,0,4,8,0,0,0,3,0,False,False
9,4,1,2,2,0,0,0,3,1,False,False
9,4,1,0,0,0,0,0,3,1,False,False
9,4,2,0,0,0,0,0,3,3,False,False
9,4,1,0,0,0,0,0,3,1,False,False
9,4,1,0,6,0,0,0,3,3,False,False
9,4,0,6,0,0,0,0,3,1,False,False
9,4,0,6,0,0,0,0,3,1,False,False
7,4,1,0,0,0,0,0,3,1,False,False
78,3,0,0,0,0,0,0,3,23,False,True
38,3,0,0,0,0,0,0,3,9,False,True
30,3,3,0,0,0,0,0,3,4,False,False
26,3,0,2,4,0,0,0,3,4,False,False
18,3,0,0,0,0,0,0,3,6,False,False
17,3,0,0,0,0,0,0,3,4,False,False
16,3,1,0,0,0,0,0,3,7,False,False
15,3,0,0,0,0,0,0,3,3,False,False
13,3,0,0,0,0,0,0,3,3,False,False
12,3,0,0,0,0,0,0,3,7,False,False
12,3,0,0,0,0,0,0,3,1,False,False
12,3,1,0,0,0,0,0,3,6,False,False
11,3,1,0,0,0,0,0,3,2,False,False
11,3,1,4,4,0,0,0,3,2,False,False
10,3,3,0,5,0,0,0,3,8,False,False
10,3,2,0,10,0,0,0,3,6,False,False
9,3,1,0,0,0,0,0,3,3,False,False
9,3,2,0,0,0,0,0,3,2,False,False
9,3,1,0,0,0,0,0,3,3,False,False
9,3,2,0,0,0,0,0,3,2,False,False
9,3,0,0,5,0,0,0,3,7,False,False
9,3,0,1,6,0,0,0,3,2,False,False
9,3,1,0,0,0,0,0,3,1,False,False
9,3,2,0,0,0,0,0,3,2,False,False
9,3,0,0,0,0,0,0,3,7,False,False
9,3,0,2,1,0,0,0,3,3,False,False
9,3,4,0,0,0,0,0,3,4,False,False
8,3,0,0,3,0,0,0,3,4,False,False
8,3,1,0,0,0,0,0,3,1,False,False
8,3,1,0,0,0,0,0,3,2,False,False
8,3,1,0,11,0,0,0,3,5,False,False
8,3,0,0,0,0,0,0,3,0,False,False
8,3,1,0,11,0,0,0,3,5,False,False
8,3,1,0,0,0,0,0,3,2,False,False
8,3,3,0,8,0,0,0,3,5,False,False
7,3,1,0,0,0,0,0,3,1,False,False
7,3,1,0,4,0,0,0,3,3,False,False
7,3,1,2,2,0,0,0,3,2,False,False
7,3,0,0,4,0,0,0,3,0,False,False
7,3,2,0,0,0,0,0,3,2,False,False
7,3,1,0,6,0,0,0,3,4,False,False
44,2,0,2,3,0,0,0,3,20,False,False
21,2,1,0,0,0,0,0,3,3,False,False
21,2,0,0,0,0,0,0,3,1,False,False
18,2,1,0,0,0,0,0,3,5,False,False
16,2,1,0,4,0,0,0,3,1,False,False
13,2,2,1,12,0,0,0,3,3,False,False
10,2,0,0,12,0,0,0,3,9,False,False
10,2,1,1,3,0,0,0,3,2,False,False
9,2,0,0,0,0,0,0,3,1,False,False
9,2,1,2,1,0,0,0,3,4,False,False
9,2,1,2,1,0,0,0,3,4,False,False
32,1,1,0,0,0,0,0,3,15,False,True
26,1,0,0,0,0,0,0,3,6,False,False
17,1,0,0,0,0,0,0,3,10,False,False
17,1,2,0,0,0,0,0,3,3,False,False
14,1,3,0,0,0,0,0,3,10,False,False
13,1,1,0,0,0,0,0,3,4,False,False
13,1,2,0,6,0,0,0,3,3,False,False
12,1,2,4,5,0,0,0,3,6,False,False
11,1,0,0,0,0,0,0,3,3,False,False
11,1,1,0,0,0,0,0,3,3,False,False
11,1,1,0,0,0,0,0,3,1,False,False
11,1,1,0,0,0,0,0,3,1,False,False
11,1,2,0,5,0,0,0,3,5,False,False
10,1,1,0,0,0,0,0,3,1,False,False
10,1,1,0,0,0,0,0,3,1,False,False
10,1,0,1,4,0,0,0,3,5,False,False
9,1,0,1,3,0,0,0,3,2,False,False
9,1,0,1,3,0,0,0,3,1,False,False
9,1,0,0,4,0,0,0,3,2,False,False
9,1,1,1,3,0,0,0,3,1,False,False
9,1,0,1,4,0,0,0,3,1,False,False
9,1,7,1,1,0,0,0,3,7,False,False
9,1,0,1,3,0,0,0,3,1,False,False
9,1,1,0,0,0,0,0,3,1,False,False
9,1,2,0,0,0,0,0,3,2,False,False
9,1,2,0,0,0,0,0,3,2,False,False
8,1,0,1,2,0,0,0,3,0,False,False
8,1,1,0,0,0,0,0,3,1,False,False
8,1,1,0,0,0,0,0,3,1,False,False
8,1,1,0,2,0,0,0,3,1,False,False
8,1,1,1,3,0,0,0,3,1,False,False
8,1,1,1,3,0,0,0,3,2,False,False
8,1,1,0,0,0,0,0,3,1,False,False
8,1,1,0,0,0,0,0,3,1,False,False
8,1,1,0,4,0,0,0,3,1,False,False
8,1,1,0,4,0,0,0,3,1,False,False
28,16,2,0,0,0,0,0,2,6,False,False
30,15,1,19,4,0,0,0,2,16,False,False
144,12,1,0,0,0,0,0,2,48,False,True
17,11,0,0,0,0,0,0,2,2,False,False
19,10,2,0,0,0,0,0,2,7,False,False
13,10,0,0,3,0,0,0,2,4,False,False
11,10,2,0,0,0,0,0,2,8,False,False
11,10,1,0,0,0,0,0,2,4,False,False
26,9,5,0,0,0,0,0,2,9,False,False
17,9,2,0,0,0,0,0,2,5,False,False
38,8,1,0,0,0,0,0,2,8,False,True
28,8,1,0,15,0,0,0,2,7,False,False
19,8,1,0,0,0,0,0,2,8,False,False
25,7,0,0,0,0,0,0,2,10,False,False
24,7,1,0,0,0,0,0,2,10,False,False
12,7,1,0,0,0,0,0,2,1,False,False
12,7,1,0,0,0,0,0,2,1,False,False
12,7,1,0,9,0,0,0,2,4,False,False
7,7,0,0,6,0,0,0,2,1,False,False
16,6,3,3,12,0,0,0,2,12,False,False
16,6,3,0,18,0,0,0,2,7,False,False
13,6,0,0,0,0,0,0,2,5,False,False
12,6,2,0,6,0,0,0,2,3,False,False
11,6,2,0,2,0,0,0,2,3,False,False
10,6,1,6,0,0,0,0,2,6,False,False
9,6,1,0,0,0,0,0,2,1,False,False
9,6,2,0,9,0,0,0,2,2,False,False
7,6,2,0,6,0,0,0,2,5,False,False
20,5,3,0,8,0,0,0,2,6,False,False
15,5,2,0,12,0,0,0,2,4,False,False
14,5,1,0,0,0,0,0,2,3,False,False
14,5,1,0,0,0,0,0,2,2,False,False
14,5,1,2,9,0,0,0,2,4,False,False
13,5,1,0,0,0,0,0,2,3,False,False
13,5,2,0,0,0,0,0,2,6,False,False
13,5,3,0,0,0,0,0,2,5,False,False
13,5,1,0,15,0,0,0,2,3,False,False
12,5,1,0,8,0,0,0,2,3,False,False
12,5,0,0,0,0,0,0,2,3,False,False
12,5,0,0,0,0,0,0,2,3,False,False
11,5,2,0,0,0,0,0,2,5,False,False
10,5,1,1,0,0,0,0,2,4,False,False
10,5,1,1,0,0,0,0,2,4,False,False
10,5,2,0,0,0,0,0,2,4,False,False
10,5,1,0,0,0,0,0,2,1,False,False
7,5,1,0,3,0,0,0,2,8,False,False
6,5,1,0,0,0,0,0,2,1,False,False
22,4,2,0,0,0,0,0,2,5,False,False
22,4,0,0,4,0,0,0,2,19,False,False
14,4,0,0,0,0,0,0,2,11,False,False
14,4,0,0,0,0,0,0,2,12,False,False
12,4,1,0,0,0,0,0,2,4,False,False
9,4,1,0,2,0,0,0,2,1,False,False
8,4,1,0,0,0,0,0,2,5,False,False
8,4,4,0,0,0,0,0,2,6,False,False
7,4,1,0,1,0,0,0,2,4,False,False
7,4,0,0,0,0,0,0,2,2,False,False
7,4,0,0,0,0,0,0,2,2,False,False
7,4,1,2,0,0,0,0,2,6,False,False
7,4,1,2,0,0,0,0,2,6,False,False
7,4,1,0,0,0,0,0,2,5,False,False
7,4,0,0,0,0,0,0,2,1,False,False
7,4,0,0,0,0,0,0,2,1,False,False
6,4,2,0,0,0,0,0,2,2,False,False
5,4,0,0,3,0,0,0,2,1,False,False
16,3,1,0,0,0,0,0,2,5,False,False
15,3,1,0,5,0,0,0,2,5,False,False
15,3,2,0,0,0,0,0,2,7,False,False
14,3,2,0,0,0,0,0,2,6,False,False
